#Id,x_center,y_center,z_center,c_bdmv,c_bdmv_max,c_bdmv_min,c_bdmw,c_bdmw_max,c_bdmw_min,r_vir_bdmv,r_vir_bdmw,n_vir_bdmv,n_vir_bdmw,n_tot
85000650134,513.277000,469.499000,455.633600,7.930857,8.194881,7.667102,5.648157,6.041122,5.262795,0.365143,0.271762,627,531,663
85000650138,479.117800,490.013200,484.681600,3.027429,3.546524,2.494158,2.111754,2.686396,1.521700,0.335330,0.237474,489,353,663
85000651010,472.597800,452.061700,532.914700,9.718921,10.012497,9.431403,6.685907,7.015627,6.365187,0.368944,0.279883,650,582,662
85000651026,544.426700,522.907900,470.816000,10.427735,10.749206,10.104127,7.286392,7.579983,6.990158,0.363729,0.279201,639,576,662
85000651121,520.152500,468.312800,457.048100,8.405573,8.680477,8.128539,5.465620,5.848659,5.087766,0.368441,0.280952,652,594,662
85000652019,463.632000,527.880700,490.484600,6.960007,7.282194,6.629152,4.931978,5.368108,4.490758,0.331092,0.243670,469,380,661
85000652020,485.465700,454.643600,531.318100,7.927172,8.173281,7.684238,5.010420,5.422806,4.605879,0.366327,0.282650,635,602,661
85000653133,546.461500,539.772600,523.267200,8.817198,9.132934,8.497027,6.710625,7.046165,6.381063,0.359247,0.264293,598,488,660
85000656075,513.786800,471.602300,488.100800,6.469300,6.816215,6.129882,4.608086,5.052589,4.169990,0.366099,0.270380,633,526,657
85000659027,475.179600,504.445100,500.761600,7.764073,8.024873,7.508301,5.267862,5.669669,4.871186,0.362819,0.276331,631,561,654
85000660008,496.228500,500.845700,506.347000,6.159088,6.504662,5.803532,4.141116,4.621357,3.658864,0.339863,0.252407,508,424,653
85000660115,489.846600,483.022000,513.090000,7.448612,7.726361,7.168211,5.058875,5.472463,4.649274,0.364458,0.272441,625,537,653
85000660149,534.782600,516.241400,538.047200,5.904947,6.262960,5.538975,4.274345,4.742958,3.804693,0.366422,0.266918,620,505,653
85000660908,452.548500,519.446200,542.352100,6.456772,6.789818,6.131683,4.636014,5.080620,4.190945,0.364882,0.270190,637,524,652
85000661829,501.556400,479.645600,462.586700,3.002018,3.520145,2.471025,1.556454,2.158083,1.088730,0.362975,0.271235,609,527,651
85000662956,541.986500,513.633800,482.778100,9.658931,9.956898,9.356291,6.691655,7.019494,6.363590,0.363283,0.277243,628,559,650
85000664108,538.670700,545.728900,524.556900,7.316512,7.598909,7.036989,4.813349,5.239485,4.385356,0.370847,0.281023,641,591,649
85000666950,473.153000,457.769800,526.891800,4.689939,5.147123,4.235413,3.436515,3.940463,2.925566,0.343226,0.246925,523,400,646
85000667096,540.326800,517.880900,511.412400,13.174262,13.651272,12.710793,9.327527,9.654499,8.993244,0.362879,0.278438,634,580,646
85000669069,503.225300,470.238000,519.742500,9.632263,9.951757,9.309559,7.031657,7.370343,6.694123,0.361311,0.271113,606,525,644
85000670100,495.785800,513.640800,526.936400,12.440222,12.924401,11.960887,9.037601,9.431285,8.637283,0.317040,0.241320,418,373,643
85000671164,546.496200,470.351700,515.261200,6.903837,7.212334,6.586719,4.412891,4.860301,3.961845,0.362295,0.276175,621,563,642
85000672205,496.971800,513.748400,497.362000,5.929746,6.291096,5.570509,4.385324,4.850025,3.917013,0.354551,0.257247,572,454,641
85000674274,508.563400,483.261700,524.346700,3.939070,4.420074,3.461905,2.446055,3.000749,1.883498,0.362529,0.268866,624,523,639
85000674292,541.267600,500.794500,456.857800,7.498091,7.784335,7.217086,5.328481,5.747249,4.913856,0.354020,0.262669,574,481,639
85000676392,471.513900,544.570600,525.877600,8.074103,8.453672,7.696256,5.697813,6.111381,5.294507,0.311406,0.233767,390,339,637
85000677435,454.141600,541.363700,470.492100,8.067277,8.387510,7.743461,5.628228,6.036965,5.217857,0.304311,0.228212,366,317,636
85000678468,472.820400,514.213200,490.325600,9.908708,10.258994,9.567219,6.791945,7.109824,6.481050,0.359341,0.271015,582,521,635
85000678489,478.009100,523.593000,460.010100,8.923577,9.390805,8.469397,6.756453,7.187519,6.331313,0.266494,0.196906,249,203,635
85000680625,510.046100,489.859200,457.643400,7.128740,7.437800,6.813062,5.331451,5.737517,4.925615,0.350099,0.256043,555,446,633
85000684045,465.825700,477.132400,490.856800,7.165141,7.467668,6.857035,5.114478,5.553384,4.687999,0.362276,0.267032,607,507,630
85000686270,452.517200,494.296800,537.617100,7.502122,7.797918,7.210976,5.878331,6.262548,5.499344,0.346280,0.251090,535,415,628
85000687294,498.622000,542.132200,484.992000,8.497258,8.816968,8.168787,5.991337,6.363856,5.619104,0.351685,0.264718,565,490,627
85000687295,460.935500,454.990200,533.966900,11.638090,12.035910,11.229667,7.781125,8.042312,7.518635,0.363931,0.278534,619,576,627
85000687409,469.334000,450.865100,482.090200,5.926445,6.301524,5.554491,4.600885,5.055517,4.146801,0.355785,0.255949,582,443,627
85000688460,515.258500,457.795300,453.427200,4.781038,5.211037,4.347819,3.943137,4.460387,3.435759,0.335799,0.234236,494,342,626
85000689410,470.084800,451.721200,534.898500,7.359279,7.646770,7.071159,4.956903,5.379267,4.534617,0.357650,0.268935,585,516,625
85000690501,461.153000,511.927200,467.566500,4.356051,4.822126,3.893114,3.545341,4.070198,3.026617,0.325486,0.228222,445,316,624
85000690631,514.877800,538.802900,509.817400,8.987112,9.314602,8.654794,6.202352,6.554848,5.841653,0.359457,0.271154,600,532,624
85000691525,509.199200,492.388600,488.479700,7.254840,7.551327,6.954332,5.158082,5.562512,4.751358,0.360604,0.269004,600,517,623
85000691630,498.422600,462.016800,499.874400,5.657313,6.039639,5.276737,3.962247,4.449421,3.476639,0.347450,0.255605,540,445,623
85000692658,492.329500,546.377800,464.877000,3.593771,4.101209,3.086852,3.319495,3.846870,2.787597,0.324770,0.216465,443,269,622
85000693841,509.865900,481.605700,464.316700,5.474435,5.876080,5.083915,4.900380,5.328313,4.460578,0.336951,0.233989,497,337,621
85000694850,460.569500,536.002200,454.688000,9.448444,9.792074,9.110971,6.780319,7.106252,6.450336,0.357814,0.269734,594,518,620
85000698316,470.522200,475.889700,483.029500,5.603380,5.991655,5.223859,3.714983,4.204626,3.224314,0.358950,0.266486,595,503,617
85000698317,463.244800,458.152500,509.008400,8.380649,8.678140,8.086951,6.086975,6.448821,5.721471,0.337096,0.249139,489,411,617
85000699421,467.391600,520.889800,486.029200,5.020729,5.480603,4.565301,3.707743,4.220859,3.207341,0.307397,0.222645,376,291,616
85000700565,537.768500,472.564500,516.252300,6.460895,6.791096,6.129867,4.231118,4.686860,3.779087,0.356393,0.271409,596,529,615
85000700571,529.611800,537.430200,499.871700,4.622944,5.082213,4.158305,4.662481,5.125038,4.191242,0.335789,0.220561,489,285,615
85000702880,527.389500,493.194100,462.830600,10.915227,11.285928,10.533964,7.400218,7.713830,7.081880,0.356436,0.269921,569,524,613
85000702987,510.933800,458.034700,450.734300,7.216078,7.519468,6.905049,4.865779,5.305342,4.425902,0.326222,0.242689,453,390,613
85000704171,507.491100,518.802200,541.143700,6.188526,6.587656,5.795819,4.423504,4.899938,3.949789,0.298999,0.218511,341,277,612
85000706259,452.788200,503.944900,501.225800,7.522591,7.815545,7.236510,5.979374,6.350059,5.606957,0.350841,0.252265,562,431,610
85000707586,471.015900,470.922600,456.202500,5.848701,6.232336,5.465216,3.843613,4.331893,3.368314,0.348901,0.262315,550,476,609
85000707631,526.325400,493.969900,528.379600,6.679429,7.008788,6.348696,4.610939,5.071247,4.148278,0.354865,0.265202,577,487,609
85000708597,457.491800,544.797900,474.712300,6.586292,6.923380,6.254977,4.895281,5.330615,4.467794,0.340880,0.248482,513,408,608
85000708614,515.548400,505.590900,456.267200,7.844767,8.145188,7.540907,6.361601,6.731112,5.999913,0.354939,0.253088,567,432,608
85000710956,535.486900,454.317200,510.843000,8.601166,8.864779,8.333674,5.819044,6.200058,5.435573,0.354266,0.266052,575,500,606
