#file,c
Halo_R_01231.csv,3.961220
Halo_R_03142.csv,6.911846
Halo_R_10365.csv,5.463898
Halo_R_17551.csv,5.882818
Halo_R_03039.csv,6.530791
Halo_R_00987.csv,5.059726
Halo_R_11457.csv,6.053088
Halo_R_02675.csv,8.023674
Halo_R_04257.csv,7.625859
Halo_R_09069.csv,8.106712
Halo_R_26296.csv,4.401523
Halo_R_09219.csv,4.799989
Halo_R_05301.csv,7.952163
Halo_R_16638.csv,5.657631
Halo_R_30052.csv,4.038616
Halo_R_26527.csv,3.744715
Halo_R_09374.csv,4.109396
Halo_R_26988.csv,7.986170
Halo_R_20038.csv,8.075718
Halo_R_01612.csv,5.125761
Halo_R_19448.csv,4.299836
Halo_R_06744.csv,8.282203
Halo_R_07046.csv,3.199000
Halo_R_14541.csv,7.066885
Halo_R_02172.csv,6.968618
Halo_R_16945.csv,7.520587
Halo_R_28117.csv,5.083363
Halo_R_04369.csv,5.076087
Halo_R_09445.csv,6.018091
Halo_R_26046.csv,5.723802
Halo_R_19971.csv,5.481528
Halo_R_12708.csv,5.290164
Halo_R_25338.csv,8.104220
Halo_R_09436.csv,6.981187
Halo_R_10436.csv,7.583287
Halo_R_19168.csv,5.272926
Halo_R_05500.csv,7.722474
Halo_R_04892.csv,6.427952
Halo_R_25536.csv,4.709440
Halo_R_13112.csv,5.863544
Halo_R_01316.csv,5.369405
Halo_R_20095.csv,7.775156
Halo_R_18713.csv,7.986494
Halo_R_03967.csv,6.779580
Halo_R_17080.csv,10.278083
Halo_R_02358.csv,4.750517
Halo_R_12775.csv,6.877081
Halo_R_00681.csv,4.916673
Halo_R_16993.csv,5.716550
Halo_R_08100.csv,7.007379
Halo_R_16967.csv,6.608054
