# Id,x_center,y_center,z_center,c,c_max,c_min,r_vir,n_vir,n_tot
85001696364,347.554000,470.918600,886.723000,17.203117,20.725536,13.634443,0.350360,247,248
85001696365,335.384100,459.489000,905.937500,33.875454,47.795204,19.859619,0.406885,247,248
85001696366,335.599500,489.260800,887.689000,8.214580,9.427381,6.990815,0.356766,247,248
85001696367,332.266900,492.840000,915.065400,46.263479,196.572840,8.775427,0.351656,247,248
85001697029,408.365300,455.243600,873.377200,19.650870,23.502749,15.784699,0.360481,247,248
85001697030,390.522500,429.070200,859.176300,16.107072,19.810591,12.437771,0.408024,247,248
85001697033,426.335400,420.536400,859.818400,62.302158,485.082744,10.000000,0.563320,247,248
85001702983,345.086800,421.405200,834.471200,8.061997,9.827352,6.337259,0.365044,246,247
85001703663,364.533700,505.929800,849.629200,11.565798,13.514212,9.654429,0.319041,246,247
85001703666,363.185000,507.708200,827.525500,7.732599,9.019566,6.461503,0.341588,246,247
85001703667,335.282100,504.101100,856.533000,11.661268,13.753637,9.593080,0.420711,246,247
85001703668,332.842800,510.440100,851.879900,30.475952,45.482234,15.496591,0.452004,246,247
85001703670,351.181400,500.733900,828.984200,43.222880,63.578176,23.096887,0.414744,246,247
85001703699,402.111600,517.261500,892.491600,8.111005,8.991707,7.226485,0.409462,246,247
85001708970,375.127800,469.975700,834.169000,17.702869,21.387103,13.989116,0.420609,245,246
85001709519,376.254900,487.320000,824.635100,21.350582,26.955538,15.598074,0.416468,245,246
85001709586,349.253200,422.508400,848.857000,26.248046,31.398697,21.084345,0.429529,245,246
85001709590,345.403300,483.130100,889.388400,20.081506,27.613926,12.741641,0.619361,245,246
85001710154,383.651500,470.639000,873.708500,2.706577,3.351386,2.052411,0.666656,245,246
85001710155,391.002700,466.386800,863.515700,19.582672,24.936301,14.245067,0.344097,245,246
85001710267,418.908800,502.407000,884.239500,10.914557,12.620167,9.161807,0.301096,245,246
85001716030,425.302600,453.709400,827.673500,23.476395,32.263194,14.898379,0.327572,244,245
85001716099,340.505500,463.041600,846.724100,15.946214,19.175860,12.734908,0.343540,244,245
85001716102,353.997200,434.426500,903.990800,46.428460,58.379185,34.294627,0.446830,244,245
85001716103,334.639500,430.363400,917.162800,26.661734,80.873901,6.755652,0.427384,244,245
85001716104,335.948800,467.151300,916.076700,16.859493,19.508444,14.241571,0.462576,244,245
85001716734,394.008300,467.201900,873.913900,12.441223,15.333499,9.574222,0.357150,244,245
85001716735,384.640300,488.139900,882.279200,26025993.152548,39450539.487448,12624179.435983,0.432134,244,245
85001716736,387.465900,427.994500,871.706200,94.868853,402.659792,9.181800,0.398838,244,245
85001716737,399.120800,420.150200,911.763700,8.897602,10.652764,7.125162,0.379494,244,245
85001716826,367.230500,510.635300,896.903900,37.345222,29627.503040,7.023757,0.422087,244,245
85001716855,406.355600,511.777100,847.760900,25.354214,32.169938,18.477262,0.512460,244,245
85001722871,404.208600,448.411200,846.441900,16.612664,20.698717,12.481886,0.387033,243,244
85001722950,352.293700,462.527800,869.027500,17.004162,27.216448,6.811368,0.352834,243,244
85001722951,372.079400,496.574100,881.197400,98.033015,691.126895,9.650236,0.460354,243,244
85001723569,412.584000,510.254700,901.537500,18.249249,35.967258,6.455010,0.329014,243,244
85001723654,388.958400,517.565600,903.929100,20.611443,28.911806,12.514068,0.296577,243,244
85001729652,370.554300,466.810200,844.077600,17.649072,22.729169,12.439892,0.321639,242,243
85001729658,352.987000,449.410000,886.481100,12.099370,14.455359,9.763483,0.284284,242,243
85001729659,357.222000,484.636500,868.906600,21.417257,24.872874,17.924159,0.433738,242,243
85001730320,378.132400,457.854200,876.203900,9.906928,12.416660,7.418236,0.326132,242,243
85001730321,412.642800,432.789400,862.614000,13.579841,15.584716,11.611813,0.414238,242,243
85001730326,419.667700,446.765200,861.425300,16.514632,29.356027,5.649667,0.373220,242,243
85001730433,361.756500,499.154100,829.939800,11.733596,13.629838,9.818622,0.343044,242,243
85001730450,386.248500,515.172800,854.462200,22.123392,25.117520,19.116553,0.411184,242,243
85001736381,381.802400,458.573500,826.644800,12.833680,15.816535,9.936663,0.321862,241,242
85001736459,363.538600,492.885600,891.953600,26.904401,34.458499,19.360867,0.389972,241,242
85001736460,360.005900,486.633300,866.016000,8.670994,9.969406,7.387594,0.309356,241,242
85001737205,418.358000,502.802400,903.479600,9.548553,11.249380,7.841123,0.343715,241,242
85001743211,342.074000,459.497700,897.692500,11.972551,14.196762,9.746393,0.423244,240,241
85001743212,340.298100,484.114500,905.236200,12.584370,14.820549,10.403011,0.398251,240,241
85001743832,404.885200,466.346300,892.739900,16.948396,20.535998,13.254860,0.381272,240,241
85001743833,410.743100,484.170300,891.855600,136.737544,34888.176740,9.862529,0.546071,240,241
85001743835,400.285500,422.099800,868.313000,31.375360,37.911631,24.832746,0.495782,240,241
85001750044,375.845500,446.315500,903.231900,9.986723,11.216931,8.735557,0.363604,239,240
85001750053,372.069400,488.936200,831.698000,40.933008,55.983923,25.917512,0.423437,239,240
85001750061,365.215100,496.025600,904.495300,8.912449,11.090829,6.716351,0.388079,239,240
85001750062,359.236000,425.115000,873.670300,18.502576,22.297538,14.674177,0.483594,239,240
85001750063,371.796300,440.041500,864.588000,9.317602,12.124254,6.529682,0.277353,239,240
85001750706,384.537200,490.948700,859.672200,13.721162,17.941366,9.495862,0.313908,239,240
85001750803,428.958200,516.029600,918.707600,12.634813,14.280762,11.000888,0.509228,239,240
85001750805,427.987200,504.288500,855.281900,26.502441,35.319286,17.784491,0.416385,239,240
85001757047,351.976000,477.904400,895.656100,12.514122,15.185035,9.913894,0.301095,238,239
85001757048,356.723400,489.406300,866.896200,10.020011,11.916174,8.109748,0.353399,238,239
85001763957,383.097600,458.847700,826.488500,9.232606,10.913585,7.571280,0.386507,237,238
85001764030,358.173000,480.327100,838.770500,20.280393,24.902191,15.627889,0.495459,237,238
85001764031,334.392000,472.305400,854.244500,30.082951,148.168385,9.169166,0.305979,237,238
85001764036,363.666600,489.065200,900.080300,17.433894,22.256944,12.665626,0.589661,237,238
85001764037,339.309600,462.819300,909.555100,29.046497,50.086598,8.530598,0.313791,237,238
85001764751,343.737300,515.695700,874.701700,12.902815,14.988534,10.765944,0.660110,237,238
85001764773,376.972200,498.405200,892.104600,18.904446,23.838181,14.040648,0.354055,237,238
85001771019,382.113100,487.317400,851.633100,27.841500,34.610711,21.114515,0.505694,236,237
85001771024,418.463100,461.682200,846.589300,32.330950,159.132824,7.448718,0.451099,236,237
85001771112,365.724400,474.050500,842.711400,33.120354,93.251264,9.948636,0.411764,236,237
85001771788,385.401900,483.369300,893.888100,20.768121,25.397832,16.237686,0.335521,236,237
85001771875,365.673100,517.942800,864.573500,3.850367,4.841585,2.883379,0.454387,236,237
85001778169,414.821900,452.700000,835.530500,91.906913,2673.179875,9.791336,0.554745,235,236
85001778221,375.504100,458.830400,875.523800,19.552356,24.130189,14.973219,0.320075,235,236
85001778234,364.203600,463.337900,901.144200,17.553642,22.376413,12.839155,0.289667,235,236
85001778932,376.861800,437.210700,876.852100,15.969220,18.992605,12.985443,0.327882,235,236
85001778933,414.644500,472.027700,862.912700,13.196488,16.312703,10.000057,0.360820,235,236
85001779055,416.184900,512.710200,886.646700,22.621778,28.753991,16.483634,0.394080,235,236
85001784727,336.475600,497.527000,823.388800,15.760488,18.988756,12.455316,0.456550,234,235
85001784728,391.743200,466.195500,859.173600,17.649807,20.690311,14.593900,0.340384,234,235
85001785450,367.782300,434.310500,824.520400,8.391846,9.750658,7.065447,0.491169,234,235
85001785454,365.994400,427.551500,882.704300,14.963888,17.193435,12.747519,0.658564,234,235
