haloID,c_low,c_mid,c_high,n_particles,virial_r
07426,9.51210014348,9.63925961661,9.75403522723,17434,207.11499608
07427,9.44021521953,9.58111571445,9.7244583147,15478,207.11499608
07428,9.03107585152,9.1917930357,9.39822411682,8027,207.11499608
07429,10.3545565806,10.7210093899,11.1539849178,222,207.11499608
07430,9.2533256621,9.40833318582,9.59798853802,7664,207.11499608
07431,9.11086026384,9.5891231891,10.0180440839,551,207.11499608
07432,9.71571292387,9.88292365753,10.034255316,14871,207.11499608
07433,8.99666314367,9.33164709738,9.68604457544,2164,207.11499608
07434,9.16323116823,9.3483444844,9.60029059559,3355,207.11499608
07435,9.74160393062,9.99729700264,10.1882967574,14154,207.11499608
07436,7.6756049857,7.86019231371,7.98512610806,667,207.11499608
07437,9.41424715527,9.62508241596,9.87286099253,2353,207.11499608
07438,9.67999004797,9.78707591498,9.96327514401,12482,207.11499608
07439,8.89596588351,9.20852170597,9.49954295859,1478,207.11499608
07440,9.40974211611,9.63732948145,9.79243971545,19448,207.11499608
07441,9.53858810902,9.81780487698,10.1392602572,3635,207.11499608
07442,6.79922907004,7.13458116369,7.63298369367,225,207.11499608
07443,7.93826012083,8.21013269137,8.48163912649,211,207.11499608
07444,10.5458387067,10.8411551578,11.142909807,479,207.11499608
07445,9.46814350314,9.62194311169,9.77317779209,8351,207.11499608
07446,8.77359438066,9.00937408241,9.19934235779,1582,207.11499608
07447,9.9305973017,10.1239594533,10.2981081762,4419,207.11499608
07448,8.28648899673,8.55394783785,8.85646601369,2638,207.11499608
07449,9.40266621553,9.54446701406,9.74986811852,9602,207.11499608
07450,9.52145611006,9.78690675319,10.0649515376,2573,207.11499608
07451,9.87144767589,10.0604863812,10.2826207151,3798,207.11499608
07452,10.7435230146,10.9934059494,11.322290609,266,207.11499608
07453,11.454395097,12.3973423189,13.2192731651,291,207.11499608
07454,8.54382096768,8.70940624934,8.92364118036,4982,207.11499608
07455,9.45581422162,9.73361884317,9.9329729869,632,207.11499608
07456,10.2839188147,10.6165931243,10.8506725275,353,207.11499608
07457,8.2773488927,8.52584733629,8.77241787745,234,207.11499608
07458,10.4120999645,10.8639433509,11.3738435489,834,207.11499608
07459,9.30981690358,9.4596520069,9.61109895213,9192,207.11499608
07460,9.29904230913,9.5705133659,9.85088640837,3456,207.11499608
07461,9.15893247952,9.43194154354,9.76677793974,1355,207.11499608
07462,9.32508939972,9.53093103258,9.70545901048,5768,207.11499608
07463,9.6961618401,9.96841794452,10.2882913137,3223,207.11499608
07464,9.20173344775,9.50531252976,9.7521070359,429,207.11499608
07465,9.31018126196,9.62919616669,9.95515797364,6861,207.11499608
07466,8.9580704938,9.18312413048,9.38620742226,1918,207.11499608
07467,11.0124443611,11.4640849899,12.0433644813,380,207.11499608
07468,9.21170143001,9.51957783063,9.77391358667,8377,207.11499608
07469,8.87307913244,9.02277183309,9.19960291701,6125,207.11499608
07470,9.45226461173,9.66909799591,9.86837492256,13116,207.11499608
07471,9.10216845704,9.37350679515,9.56387396924,1818,207.11499608
07472,10.0422608187,10.2786961386,10.5299715137,535,207.11499608
07473,9.21776984875,9.43863630349,9.71361156402,589,207.11499608
07474,8.77648734609,9.01033507114,9.22718133997,1883,207.11499608
07475,9.15511141824,9.48580918602,9.72428197396,5140,207.11499608
07476,10.5201081946,10.7798979498,11.0493851627,1083,207.11499608
07477,9.52808184349,9.70665024041,9.8745200971,8780,207.11499608
07478,8.65902640331,8.87125238188,9.05703197519,3327,207.11499608
07479,9.89550999564,10.0813613963,10.2659674821,2842,207.11499608
07480,9.40244878531,9.72734939503,10.0310444193,680,207.11499608
07481,9.72634750654,9.98635257732,10.3193510293,6215,207.11499608
07482,8.3313221178,8.6635787931,8.94801396991,1081,207.11499608
07483,8.37079166652,8.61062805622,8.81483992004,1778,207.11499608
07484,9.6613013379,9.98107344161,10.2503857632,626,207.11499608
07485,11.1838030136,11.8640922655,12.5297548176,281,207.11499608
07486,9.44763341408,9.90660709008,10.2680404492,1483,207.11499608
07487,9.31507917449,9.4184736343,9.60065202181,14285,207.11499608
07488,8.92547907626,9.17208854757,9.36536057153,13567,207.11499608
07489,9.40439445103,9.7797165289,10.119185761,660,207.11499608
07490,8.5439618602,8.75871062093,8.92319486119,1230,207.11499608
07491,11.8376556695,12.1162623409,12.484564705,943,207.11499608
07492,8.91063857761,9.37527236094,9.70104336811,302,207.11499608
07493,9.64275194265,9.7859105095,9.91911717422,19820,207.11499608
07494,10.4348607979,10.7898630819,11.0443265992,1548,207.11499608
07495,9.29111584831,9.64817806966,10.0762186048,1183,207.11499608
07496,9.56942071603,9.8195455355,10.0366426597,10868,207.11499608
07497,7.14844986963,7.35726297898,7.46615711104,362,207.11499608
07498,9.36217327277,9.58589876306,9.8692791102,2493,207.11499608
07499,10.5998342775,10.9733548358,11.4090151647,736,207.11499608
07500,7.2091468031,7.37873244407,7.53593508257,238,207.11499608
07501,9.62675831866,9.7950732781,10.0888221021,9247,207.11499608
07502,9.51838103409,9.81527246046,9.95956643144,12699,207.11499608
07503,9.06374143458,9.28324066572,9.44219482523,3551,207.11499608
07504,9.65243883145,9.79457436196,9.99947931231,6190,207.11499608
07505,9.31708764202,9.67841719985,9.99294415558,513,207.11499608
07506,10.0914413849,10.5000446774,10.9420144213,346,207.11499608
07507,9.27888063699,9.44101683954,9.72113788022,10276,207.11499608
07508,9.33857858487,9.52506170643,9.69163454082,18788,207.11499608
07509,9.71979054794,10.0037058887,10.2110806945,19363,207.11499608
07510,9.41723849235,9.70215483349,10.0910265332,1190,207.11499608
07511,9.34451903587,9.53713795851,9.75062191614,4329,207.11499608
07512,9.42044046289,9.58649298431,9.70501219329,18805,207.11499608
07513,8.46982999665,8.63649771467,8.83172563379,1129,207.11499608
07514,9.82004579278,10.2517951314,10.5125244188,1548,207.11499608
07515,8.07229162532,8.22648423838,8.3613131419,606,207.11499608
07516,9.62878899938,9.83130852919,10.1766645987,2278,207.11499608
07517,9.63592232735,9.87586721984,10.084552215,3840,207.11499608
07518,8.82442975406,9.00260353604,9.21644496569,8519,207.11499608
07519,11.4105829124,11.7337026313,12.0641413361,315,207.11499608
07520,10.4391704495,10.8225278123,11.183592644,221,207.11499608
07521,7.71225938849,7.97778680148,8.19754714658,324,207.11499608
07522,9.9750474292,10.1731356446,10.3497657052,12893,207.11499608
07523,10.0586778021,10.423966487,10.7826980988,354,207.11499608
07524,11.8448825905,12.304870423,12.6061682354,1540,207.11499608
07525,9.41325239943,9.7164660264,9.92392491768,9853,207.11499608
07526,8.96031165242,9.36653456622,9.73765586133,414,207.11499608
07527,9.24499335407,9.41009151032,9.6001054214,8813,207.11499608
07528,9.85909447855,10.1815925466,10.3987299603,1195,207.11499608
07529,9.41485931688,9.59617938492,9.69679940155,8202,207.11499608
07530,8.99161591146,9.27986878538,9.59329156378,1484,207.11499608
07531,9.15797847126,9.35971536008,9.60049677118,4127,207.11499608
07532,9.41166809744,9.58045620711,9.71671086623,4259,207.11499608
07533,9.35855736486,9.61392847104,9.89779566089,373,207.11499608
07534,9.20271203721,9.34952297136,9.49186687358,7879,207.11499608
07535,9.38245785044,9.69869075265,9.95152312837,4906,207.11499608
07536,9.31832332493,9.53298581884,9.73545971699,6840,207.11499608
07537,10.7448403653,11.1494742977,11.6560798406,523,207.11499608
07538,10.0085135912,10.5865323616,10.9053170116,554,207.11499608
07539,9.4997401809,9.70464840635,9.89628097363,3839,207.11499608
07540,8.11964668816,8.60126992871,8.9970932085,261,207.11499608
07541,9.02225786836,9.38036303912,9.78228400816,292,207.11499608
07542,9.67628641591,9.82183483713,9.96570997028,23947,207.11499608
07543,10.0594741831,10.3358318609,10.6222769288,1747,207.11499608
07544,10.0642911598,10.2763394504,10.4697078421,2726,207.11499608
07545,9.17771454325,9.40822210547,9.56044980381,18098,207.11499608
07546,6.49790314324,6.64277858492,6.80264979467,200,207.11499608
07547,10.2492850349,10.518759039,10.7619476377,2923,207.11499608
07548,9.53624306284,9.76079871412,9.96605241378,3408,207.11499608
07549,9.70857603616,9.85375282649,10.0406649109,15829,207.11499608
07550,10.9309426138,11.4218243658,11.8241153743,345,207.11499608
07551,9.4490186848,9.68446486921,9.86326767272,3015,207.11499608
07552,9.75808552748,9.98614742503,10.2136264366,5033,207.11499608
07553,8.53272970979,8.77486446198,9.03121430279,1422,207.11499608
07554,8.07208949105,8.3053559096,8.58128139693,241,207.11499608
07555,11.5494359302,11.8315451278,11.9879340382,1046,207.11499608
07556,9.00678522411,9.29029748526,9.48528307273,841,207.11499608
07557,9.19446768017,9.37046305124,9.52762796334,15126,207.11499608
07558,9.90947686747,10.0694315364,10.2150281933,13694,207.11499608
07559,8.9273282435,9.21906051169,9.53543558236,388,207.11499608
07560,10.3363585554,10.6451379553,10.8348756224,1318,207.11499608
07561,11.178457179,11.7265580724,12.363679391,476,207.11499608
07562,12.0593776392,12.5870284062,13.0894388339,252,207.11499608
07563,8.8998234519,9.08379986483,9.24191166316,13716,207.11499608
07564,9.75739811363,9.9101231839,10.0712333713,18067,207.11499608
07565,12.5391779262,13.1453579207,13.7959204687,416,207.11499608
07566,9.20621051568,9.37250707501,9.57376002124,20008,207.11499608
07567,7.59914175648,8.15683929879,8.59587012431,388,207.11499608
07568,9.95976707728,10.2828799369,10.5813691408,660,207.11499608
07569,8.99354523996,9.31716286858,9.52888195737,7840,207.11499608
07570,9.56600914508,9.83563178065,10.0424991057,3851,207.11499608
