# Id,x_center,y_center,z_center,c,f(c),r_vir,n_vir,n_tot
267,-0.000000,0.000000,-0.000000,9.982321,0.000000,0.998183,989,990
268,-0.000000,0.000000,0.000000,9.969629,0.000000,0.998188,991,992
269,-0.007243,-0.001750,0.006484,10.419063,0.000000,1.002558,1040,1041
270,-0.000000,0.000000,-0.000000,10.006456,-0.000000,0.998284,1048,1049
271,0.011609,0.006301,0.001565,10.711897,0.000000,1.010270,990,991
272,0.005681,-0.000313,0.000275,10.169400,0.000000,0.996146,983,984
273,-0.008244,-0.004294,0.010835,10.600255,0.000000,1.010529,1044,1045
274,0.006206,-0.007379,0.003317,10.542042,0.000000,1.005826,976,977
275,-0.000626,-0.002228,0.007850,10.416448,0.000000,0.998986,978,979
276,0.017669,-0.008168,0.020463,10.728931,0.000000,1.017283,994,995
277,-0.000000,-0.000000,-0.000000,10.038699,-0.000000,0.998166,982,983
278,0.005569,0.000159,-0.001072,10.278381,0.000000,0.999342,987,988
279,0.003198,0.007085,-0.002889,10.387655,0.000000,1.002239,966,967
280,0.000000,-0.000000,-0.000000,9.980282,-0.000000,0.998165,979,980
281,0.000000,0.000000,-0.000000,10.018608,0.000000,0.998241,1023,1024
282,-0.004535,-0.002279,-0.002358,10.233166,0.000000,1.001479,1027,1028
283,-0.000000,-0.000000,0.000000,9.928263,0.000000,0.998150,969,970
284,-0.005252,0.006005,-0.000214,10.262111,0.000000,0.999761,1032,1033
285,-0.001400,-0.004738,0.002545,10.467545,-0.000000,1.003668,1031,1032
286,0.003039,-0.004017,-0.002222,10.328885,0.000000,0.999349,1048,1049
287,0.003207,0.004283,-0.006060,10.262326,0.000000,1.002636,1019,1020
288,0.000000,0.000000,-0.000000,10.035108,0.000000,0.998249,1028,1029
289,0.000307,0.001969,-0.007971,10.431394,0.000000,1.004040,974,975
290,-0.000522,0.000627,0.005320,10.379641,-0.000000,1.000863,1096,1097
291,-0.004387,-0.002416,-0.006231,10.494620,0.000000,1.005119,1026,1027
292,0.000000,0.000000,-0.000000,10.030071,0.000000,0.998079,937,938
293,0.010846,0.004171,-0.000900,10.197467,0.000000,0.997258,1020,1021
