halo_id,x_potential,y_potential,z_potential,x_mass,y_mass,z_mass,eig_1,eig_2,eig_3
85000032541,414.6724,517.9333,870.0991,414.337442902,517.844303717,870.011612927,1871.8870908,3388.17909321,2511.85551813
85000033639,345.8644,514.5933,840.5186,345.895029796,514.599643458,840.600864744,977.130253497,1370.09660495,1487.92214033
85000034071,384.2895,513.0145,841.5568,384.259451599,513.030835576,841.548066404,720.798859283,1239.34810032,1342.62251706
85000035428,333.237,462.5289,903.2869,333.179228293,462.542610608,903.272456083,595.656639592,1721.69511364,1857.75373698
85000035789,379.8699,460.154,867.6143,379.890775809,460.386339634,867.920298666,586.521181407,3380.55460101,3480.08590359
85000036262,380.2698,466.5167,860.9312,380.306879362,466.501353323,860.900970121,1283.55684881,990.011553984,1017.53773016
85000036880,404.3937,452.3566,879.1495,404.308492052,452.364983966,878.993014722,806.539179961,1903.97306615,2127.40675199
85000037775,351.6966,502.0797,859.5224,351.755567673,502.074696699,859.492582597,1480.23042989,1170.09285835,666.063402427
85000040263,333.1566,507.7491,890.5909,333.162044111,507.739164964,890.671333194,659.772706147,1626.83213872,1788.45052417
85000040690,383.1145,486.5218,852.6599,383.04556575,486.52635942,852.611097371,783.796501264,1218.73256639,1309.58885616
85000040714,390.3959,460.2335,861.5098,390.368526224,460.150992312,861.375832515,2223.87577485,1909.58309013,693.250473582
85000041075,337.7828,512.2688,838.1133,337.805130895,512.323193818,838.158134252,1337.38474321,1252.09411941,817.992336878
85000042541,390.9219,420.9573,915.713,390.77150727,421.059835789,915.628437092,576.700678886,2758.30940569,2906.21507525
85000042553,377.5844,464.0508,836.2323,377.498543646,464.040060908,836.404364565,610.426397607,1634.33235748,1565.30169257
85000044872,354.5775,492.5998,868.6487,354.414550364,492.590340236,868.667205733,758.190199963,1462.53152484,1047.84461112
85000045529,384.5522,451.6042,858.4131,384.492409959,451.546633789,858.43611043,577.069237444,1108.22335313,908.051059923
85000046520,400.0427,474.7126,851.8362,400.048021482,474.763337466,851.852333717,578.638845319,777.757249018,916.788184923
