#Id,x,y,z,rho0,rho0_max,rho0_min,rs,rs_max,rs_min,r_max,r_vir,c
85007664606,459.624300,522.011000,548.987900,424418.850609,2449705.035685,41202.415456,0.022586,0.026604,0.018499,0.197262,0.189797,8.403154
85001706967,469.905000,498.132700,484.656800,77470.528927,88279.917078,66689.725522,0.089447,0.095564,0.083464,0.308072,0.000000,-99.000000
85003239353,470.380200,467.425400,450.408700,1170376.180664,1480051.967975,857868.722890,0.019413,0.021003,0.017849,0.426277,0.246760,12.711205
85000262652,534.280300,536.818700,507.163100,76444.493767,80341.502530,72550.666914,0.133901,0.136895,0.130872,0.941425,0.540458,4.036259
85003532268,488.240800,517.635100,481.289900,177027.838170,216872.950041,137430.764123,0.039492,0.042572,0.036428,0.335440,0.218627,5.535963
85001804371,475.465800,544.355800,504.648900,904170.327521,1061791.368979,747868.000755,0.028853,0.030635,0.027104,0.340363,0.320352,11.102926
85002257031,533.423800,459.062800,475.077300,1035993.117258,1201175.475881,868696.673713,0.026833,0.028622,0.025080,0.268615,0.000000,-99.000000
85004541701,488.627200,483.112000,519.805100,282439.470051,394911.873489,170231.129114,0.031009,0.035360,0.026696,0.236932,0.221988,7.158786
85004028693,510.842700,461.747500,477.353900,327458.155204,449011.357114,208114.685059,0.034578,0.038254,0.030986,0.271125,0.244584,7.073395
85007128592,477.757500,549.466600,472.871100,184448.758738,503515.455665,19197.073853,0.034086,0.040641,0.027341,0.250754,0.172518,5.061265
85005697835,526.270700,451.456300,478.967700,223233.425874,323422.785883,121819.481694,0.035666,0.040074,0.031337,0.215990,0.000000,-99.000000
85008527294,545.129000,544.913900,545.400200,152908.147368,262818.181132,42707.656090,0.031616,0.039533,0.023815,0.239767,0.154863,4.898268
85003951171,475.724800,509.479500,486.971700,180892.087259,244468.632181,117729.950042,0.043088,0.048791,0.037418,0.252486,0.248396,5.764885
85007127491,459.935800,528.872000,483.704500,46737.057111,76606.458324,16550.472467,0.071117,0.080222,0.061879,0.181493,0.000000,-99.000000
85005398756,473.287900,459.418500,527.836400,1165216.596495,2597985.176754,145439.867838,0.014703,0.016595,0.012792,0.315390,0.183450,12.477209
85007504111,490.571600,533.847700,450.223200,1098656.158892,2331157.272777,93008.970069,0.016056,0.019040,0.013015,0.153379,0.000000,-99.000000
85004067043,509.121900,465.741000,489.620000,547895.519369,903810.348261,186833.937193,0.027863,0.031603,0.024202,0.193069,0.000000,-99.000000
85000699421,467.391600,520.889800,486.029200,210578.184677,226729.803084,194182.003147,0.064340,0.066602,0.062072,0.656436,0.413471,6.426312
85000966860,511.388100,486.916200,461.547100,1094867.742779,1210122.624762,982331.464158,0.033083,0.034478,0.031700,0.425601,0.396143,11.974340
85000598350,516.036100,482.090000,490.676600,818612.320868,876328.055776,762268.209998,0.042368,0.043658,0.041075,0.797404,0.450577,10.634878
85002808566,486.233000,542.303200,549.863900,274130.614594,370541.743720,178024.990332,0.033786,0.036739,0.030912,0.615931,0.238163,7.049236
85008052688,468.236600,500.956100,475.766700,406015.985197,714105.170099,101732.181101,0.024062,0.027990,0.020054,0.219212,0.173682,7.218093
85005766774,473.486700,541.185800,512.898700,843537.676599,1247648.146697,439767.027854,0.018520,0.021735,0.015325,0.238182,0.197393,10.658415
85002978056,489.354800,468.497000,464.632700,184310.428468,232089.469260,136019.457662,0.047090,0.051466,0.042757,0.328624,0.262413,5.572579
85001706968,495.828900,534.864100,486.331100,814491.307983,916247.078662,713314.274133,0.028439,0.029820,0.027025,0.514006,0.308553,10.849834
85005698093,453.732800,465.934500,505.937200,3341472.986487,6209356.896892,556214.261293,0.011125,0.012441,0.009790,0.219564,0.000000,-99.000000
85008367826,479.024600,455.888900,456.981400,414169.397993,663214.167036,170695.839803,0.023194,0.028090,0.018316,0.191646,0.178595,7.700079
85001192072,507.825300,483.012200,483.168800,652760.568811,726093.774538,581168.348966,0.038287,0.040062,0.036499,0.505974,0.370125,9.667177
85003561026,501.657700,471.360200,519.739700,104715.037006,136334.565338,72351.164399,0.057184,0.063855,0.050661,0.288472,0.254281,4.446754
85002574202,541.705700,501.036200,456.563300,754286.540303,988065.141888,527239.354799,0.028161,0.030673,0.025686,0.295960,0.000000,-99.000000
85003880019,499.332100,468.480700,535.708300,826053.939947,1048281.122187,602594.721553,0.022843,0.024787,0.020846,0.287514,0.223195,9.770686
85003344425,539.078800,484.279000,506.061900,986054.461656,1230186.980440,741672.445765,0.022696,0.024484,0.020933,0.305541,0.247824,10.919150
85006789063,510.814400,530.598900,462.512000,80711.280098,153399.219477,8258.732665,0.051021,0.061407,0.040571,0.202007,0.191343,3.750295
85008216048,522.996900,467.571100,456.503900,350855.220439,587620.389620,107629.799240,0.023554,0.027640,0.019576,0.165660,0.000000,-99.000000
85006691599,479.622500,452.001800,517.052900,426437.326131,876214.406569,61048.062168,0.025011,0.028602,0.021349,0.191549,0.000000,-99.000000
85000700571,529.611800,537.430200,499.871700,248411.698759,270728.934836,226281.151295,0.062327,0.064989,0.059629,0.576187,0.430782,6.911691
